Rest_id,name,lat,lon,rating
124,Dabba Meat,28.4906544,77.0930322,3.4
125,Deepak Rasoi,28.4897671,77.0951644,2.7
126,Gurgaon Hights,28.4917895,77.093679,2.5
127,Idliss,28.4933028,77.0949823,3.4
128,Indian Home Food,28.4911838,77.0934537,2.6
129,Jetha Lal Ka Dhabha,28.49332817,77.09503077,3.1
130,Kusum Rolls,28.4907443,77.092692,3.1
131,Megha Vaishno Dhaba,28.4949836,77.0952332,3.1
132,Nikhil Food Point,28.4899703,77.0947642,2.7
133,Plan B,28.4846488,77.0962564,3.4
134,Punjabi Zaika,28.4872602,77.1048728,3.2
135,Rasoi,28.487522,77.1046906,3
136,Shree Bikaner Misthan Bhandar,28.4921002,77.0941281,3.1
137,Smokey Pan,28.4899428,77.0945327,3.2
138,Surprise O Meal,28.4911924,77.0935436,3.4
139,Tandoor on The Way,28.4931646,77.0935436,3.2
140,Tawa N Tandoor,28.4928519,77.0944877,2.7
141,The Paradise Biryani,28.4942093,77.0994974,2.9
142,The Royal,28.4936446,77.0934087,3.3
143,Theka Desi Khaana,28.4932941,77.0948924,3
144,Tobasco Kitchen,28.4930484,77.0946676,3.2
145,Tpot,28.4934335,77.0935436,3.2
146,Welcome Cafeteria,28.4931115,77.0940363,3.3
147,Yo Yo China Town,28.49330872,77.093805,2.8
148,Caterspoint,28.4872636,77.1039737,4.9
149,Burger Hut,28.4923373,77.094263,3.6
150,China Gatherings,28.4902409,77.0939033,3.5
151,Crazy Bhukkhad,28.4896545,77.0924646,3.9
152,Fomads,28.4922725,77.0943525,3.6
153,Happy Beings,28.490666,77.094627,3.5
154,InstaDozza,28.4934335,77.0935436,3.5
155,Veg Ex,28.4879232,77.1036643,3.8
156,ZASTY,28.492698,77.094031,3.5
157,Aahar,28.492384,77.0943256,2
158,Chicken Bytes,28.4923373,77.094263,2.1
159,Flying Cakes,28.4924355,77.0943529,2.2
160,Punjabi Tadka,28.4914786,77.0937234,2.2
161,Coldpress Company,28.489834,77.09321138,4
162,Crudo Juicery,28.4871499,77.1049154,4.3
163,First Eat,28.4904461,77.094173,4
164,Zoe,28.49488428,77.08978873,4.3
165,Dabba Meat,28.4681035,77.087429,3.1
166,Kashmiri Kitchen,28.4739245,77.0715115,3.4
167,Baking Bad,28.4666333,77.0813069,3.7
168,Bamboo Boat,28.4614757,77.0888382,3.8
169,Kebab Gali,28.4626173,77.0872491,3.9
170,Lucknow Mail,28.4700505,77.0857654,3.8
171,My Country Platter,28.4614598,77.0887329,3.8
172,SARA World Cuisine,28.4616192,77.0880584,3.9
173,World In A Box,28.4834181,77.0966008,3.6
174,Bun Intended,28.46624793,77.08301514,4.2
175,Cafe Gatherings,28.4622589,77.0875226,4.4
176,Cafe Soul Garden,28.4616072,77.0888677,4.1
177,Food O Gram,28.4699579,77.0859584,4
178,Happy Hakka,28.46157,77.0880135,4.1
179,Kaiser,28.46147,77.088706,4.1
180,Pizza Central,28.4623501,77.087295,4.1
181,Tasty Fare,28.4486392,77.0957635,3.4
182,Burger Point,28.4495295,77.0978116,3.6
183,Drifters Cafe,28.4477214,77.0951664,3.9
184,Anjlika,28.447904,77.0992983,3.1
185,IZU,28.4481471,77.0990285,3.4
186,Bizibean,28.4480747,77.0992084,3.6
187,ChandChini,28.4478212,77.09939003,3.8
188,Mediumwelldone,28.4476522,77.0994781,3.5
189,Sonya Bakery Cafe,28.4482945,77.0991634,3.5
190,Cafe Amaretto,28.4481557,77.0991184,4.1
191,Sibang Bakery,28.4472358,77.0993432,4.1
192,Zaffran,28.4616552,77.0525451,4.1
193,Barista,28.4788581,77.0808644,3.3
194,Burger King,28.4792485,77.0807295,3.4
195,Club Mojo,28.4788089,77.0808194,2.6
196,KFC,28.479127,77.0808644,2.6
197,Not Just Paranthas,28.4788581,77.0808644,2.7
198,Shree Rathnam,28.4787511,77.0806845,2.9
199,Pind Balluchi,28.4757509,77.0931234,2.6
200,Sip n Bite,28.47571545,77.09314417,3.2
201,Abar Khabo,28.47579915,77.09307712,3.6
202,Moti Mahal Delux,28.476268,77.093094,3.6
203,The Lost Mughal,28.47565209,77.09335204,3.8
204,Hungry Buffoons,28.460459,77.0950645,2.7
205,Di Miso,28.460546,77.0946226,3.6
206,Kuuraku,28.4604087,77.0946989,3.9
207,Vapour Bar Exchange,28.4603115,77.0949823,3.8
208,Bhai Ji Foods,28.4543812,77.0971853,3.3
209,Curry n Phulka,28.4494782,77.0979495,2.8
210,Jaguar,28.4499246,77.0986339,2.8
211,Jalsa Lounge,28.4667953,77.0941432,3.2
212,Lord of Grillz,28.4372372,77.1042874,3.2
213,Midnight Cravings Beyond Control,28.4369224,77.0975132,3.3
214,Outback,28.4324764,77.1047562,3.4
215,The Cinnamon Kitchen,28.4370522,77.0974101,3.4
216,Dudleys,28.441123,77.102108,4.6
217,All Time Cafe,28.4393747,77.1039229,3.6
218,Chilli Indiana,28.4396385,77.1032552,3.8
219,Go Kylin,28.43823059,77.09865443,3.5
220,Just for Chai,28.4411247,77.1025313,3.5
221,Kabab Mistri,28.4372138,77.1004268,3.6
222,Nashta,28.441297,77.10256,3.7
223,Nooba,28.4461485,77.0987588,3.6
224,Side Wok,28.4549192,77.0971853,3.9
225,Takamaka,28.4451163,77.1015446,3.9
226,The Ark,28.4218116,77.105038,3.7
227,The Gathering Hut,28.4545373,77.0974101,3.5
228,The Diet Kitchen,28.4604777,77.0956926,4
229,Subway,28.4210196,77.0906308,2.8
230,Taste of Tamil Nadu,28.4208742,77.0904863,3.1
