,lat,lon
0,28.6527444,77.1316496
1,28.6450527,77.1693179
2,28.5626269,77.2244577
3,28.633824,77.3696585
4,28.5854878,77.3494026
5,28.6411763,77.3168413
6,28.6409699,77.3168971
7,28.5818659,77.3529095
8,28.5706876,77.3619179
9,28.6440122,77.1885235
10,28.6558178,77.1507061
11,28.6516362,77.1582947
12,28.657859,77.1424288
13,28.5487982,77.1208089
14,28.6289139,77.211311
15,28.6434826,77.2227421
16,28.6453286,77.3243485
17,28.5882486,77.2338082
18,28.5830411,77.2393458
19,28.5645421,77.2342837
20,28.5384251,77.2830377
21,28.5285737,77.2883311
22,28.5904386,77.2310778
23,28.6082403,77.1366732
24,28.6414409,77.2952594
25,28.6364928,77.2867943
26,28.6305526,77.277575
27,28.6331429,77.3089374
28,28.5431246,77.2755616
29,28.6609052,77.2277153
30,28.577404,77.3314139
31,28.5443766,77.264266
32,28.6022643,77.2291415
33,28.5553442,77.241984
34,28.5564781,77.0867345
35,28.5918905,77.1617034
36,28.6416777,77.2052683
37,28.6424786,77.2231116
38,28.5965201,77.0493833
39,28.58661,77.0573592
40,28.7237864,77.1497987
41,28.7029165,77.1580765
42,28.5722525,77.1860267
43,28.5514411,77.2517393
44,28.6407472,77.3782362
45,28.6378879,77.360427
46,28.6179042,77.2868012
47,28.6140205,77.2898985
48,28.6450931,77.3287535
49,28.6557683,77.2952085
50,28.5665678,77.3252467
51,28.5629027,77.2685753
52,28.6446464,77.3350878
53,28.6158697,77.2123611
54,28.6132066,77.3727328
55,28.6961415,77.152883
56,28.6418223,77.3792669
57,28.6545409,77.1513605
58,28.6619327,77.1574772
59,28.5729253,77.3402993
60,28.6769142,77.3785583
61,28.6425151,77.3837131
62,28.6497109,77.3395582
63,28.6240472,77.2192877
64,28.6500446,77.2376857
65,28.7218362,77.1284327
66,28.6463058,77.3202551
67,28.5660388,77.3355783
68,28.5654904,77.3595236
69,28.7217479,77.1253033
70,28.7227752,77.1252621
71,28.6845937,77.2558724
72,28.5933164,77.1206897
73,28.5647144,77.1893283
74,28.6186548,77.3725744
75,28.5601064,77.0594501
76,28.6739027,77.1346394
77,28.6740586,77.1340566
78,28.67882,77.0981158
79,28.6469531,77.1690895
80,28.5995691,77.3150722
81,28.6699715,77.142078
82,28.6386159,77.0731564
83,28.6408876,77.3840092
84,28.6419389,77.3832523
85,28.6425913,77.3795134
86,28.5826449,77.316188
87,28.7131567,77.1466021
88,28.6686787,77.2280516
89,28.6574815,77.2366881
90,28.6157594,77.3781814
91,28.5544828,77.2648487
92,28.5568967,77.1750592
93,28.5597477,77.2749004
94,28.557808,77.1610899
95,28.5608275,77.140254
96,28.5771509,77.1111533
97,28.5889096,77.0830489
98,28.6018751,77.0823561
99,28.6157555,77.085178
100,28.6289502,77.0779235
101,28.5529418,77.321595
