,lat,lon
0,12.8984603,77.6010688
1,12.8973119,77.6015666
2,12.8922129,77.5985137
3,12.9333646,77.6230728
4,12.9329534,77.6132988
5,12.9152889,77.6485692
6,12.9163076,77.6103158
7,12.8835332,77.7502633
8,12.9606568,77.6385011
9,12.9619513,77.6419064
10,12.9558995,77.6411692
11,12.974214,77.5754007
12,12.9651393,77.6383211
13,12.9637134,77.6403936
14,12.9545997,77.592852
15,12.9757533,77.6014888
16,13.0425174,77.614002
17,12.9566407,77.7151548
18,12.9782249,77.640632
19,12.9688559,77.6020522
20,13.0492109,77.547547
21,12.9720275,77.600912
22,12.9778503,77.5722059
23,12.9760075,77.5763577
24,12.9550389,77.5854279
25,12.9665538,77.6141032
26,13.0259923,77.6405519
27,13.0261391,77.6362268
28,12.9955258,77.5717703
29,12.9931291,77.5715961
30,12.9736365,77.5791669
31,13.0055684,77.5712186
32,12.9504549,77.6999246
33,12.9506894,77.5786753
34,12.9505258,77.5785913
35,12.9507057,77.5784906
36,12.9522306,77.5897955
37,12.9951833,77.5396211
38,13.02807,77.5729018
39,12.932679,77.6135844
40,12.9897552,77.5929937
41,12.9932336,77.5957651
42,12.9930635,77.5959522
43,12.9901236,77.5722985
44,12.9603346,77.6382904
45,13.0192135,77.5572955
46,12.9558467,77.7127571
47,13.0520697,77.5516404
48,12.9309204,77.5840319
49,12.9330581,77.584422
50,12.9330431,77.5843044
51,12.9261789,77.5848245
52,12.9732771,77.6034167
53,13.0489683,77.5440769
54,13.004176,77.5712511
55,13.0330093,77.5691944
56,13.0330896,77.569359
57,13.0146925,77.5687295
58,13.0292165,77.5709225
59,13.006544,77.5692433
60,13.0218399,77.5349348
61,13.0220281,77.5340657
62,13.0380165,77.5693434
63,13.03405,77.5687418
64,13.0342347,77.5693249
65,13.0162478,77.5648911
66,13.0372579,77.566121
67,12.971852,77.5964092
68,12.9600242,77.6015444
69,12.9601639,77.5945806
70,12.994359,77.5711764
71,13.0055229,77.5785182
72,13.0275961,77.5766293
73,13.0068412,77.5789439
74,13.027204,77.57712
75,12.991491,77.5941489
76,13.0070953,77.5787894
77,12.9870446,77.5947029
78,12.9887157,77.5939709
79,12.9704007,77.5874248
80,12.9803653,77.5950694
81,12.9758502,77.5891031
82,12.9671651,77.580199
83,12.9703805,77.5800395
84,12.9795054,77.6026954
85,12.9847344,77.5971261
86,12.9851989,77.5794229
87,13.0068783,77.5790907
88,13.0144093,77.5736842
89,12.9711937,77.6007788
90,12.982738,77.6030551
91,12.9772698,77.570304
92,12.9772479,77.5704213
93,12.9774742,77.5693878
94,13.0152294,77.5628328
95,12.9622135,77.6414116
96,12.9893411,77.5929583
97,12.9590966,77.6544331
98,13.0273116,77.5934753
99,12.9753625,77.6051643
100,13.0228247,77.6477855
101,12.959041,77.6564566
102,12.9699613,77.6473796
103,12.9149626,77.6149914
104,12.9136711,77.6075616
105,12.9136816,77.6077065
106,12.9137391,77.6084146
107,12.9131335,77.6101228
108,12.9135311,77.6099456
109,12.9135343,77.6099264
110,12.9138914,77.6099924
111,12.9387161,77.5534116
112,12.9261046,77.5502503
113,12.9237141,77.5534616
114,12.9437007,77.5649097
115,12.9888296,77.7339683
116,12.931753,77.68645
117,12.9497553,77.6998051
118,12.9769644,77.7102829
119,12.973597,77.678189
120,12.9916553,77.7207261
121,12.989294,77.7125997
122,12.9773708,77.6954828
123,12.9775851,77.6954241
124,12.9805079,77.6937246
125,12.9890678,77.7116566
126,12.9845859,77.5875117
127,12.9570571,77.7091042
128,12.9656267,77.7018348
129,12.9745381,77.6096029
130,13.0015628,77.5993592
131,12.97241,77.6068894
132,12.934729,77.6125976
133,12.9577184,77.7085947
134,12.9855001,77.6732164
135,12.980115,77.6405511
136,12.9792475,77.7512731
137,12.9753754,77.6028942
138,12.9673994,77.7146901
139,12.9377655,77.6267552
140,12.9594188,77.6486258
141,12.9800101,77.7271406
142,12.9723658,77.7178119
143,12.971742,77.7175491
